IS_name	itr1_start_pos	itr1_end_pos	itr2_start_pos	itr2_end_pos	description
IS_length_1289-IPR001207_107_1169-IPR001207_734_806-IPR001207_140_1196	1	26	1265	1289	IPR001207:Transposase, mutator type
IS_length_785-IPR013762_163_712	1	31	755	785	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1686-IPR008490_307_532-IPR025668_1180_1534-PTHR33408_151_1585	1	32	1655	1686	IPR008490:Transposase InsH, N-terminal;IPR025668:Transposase DDE domain;PTHR33408:TRANSPOSASE
IS_length_1377-IPR013762_695_1274	1	28	1350	1377	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2173-IPR012337_1512_1899	1	30	2147	2173	IPR012337:Ribonuclease H-like superfamily
IS_length_1628-IPR012337_954_1401-IPR036397_927_1419-IPR025246_252_372-PTHR10948_582_1413-PTHR10948_246_387	1	29	1592	1628	IPR012337:Ribonuclease H-like superfamily;IPR025246:Transposase IS30-like HTH domain;IPR036397:Ribonuclease H superfamily;PTHR10948:TRANSPOSASE
IS_length_1733-IPR036397_1051_1546-IPR012337_1072_1531-PTHR10948_694_1546-IPR025246_331_457	1	29	1705	1733	IPR012337:Ribonuclease H-like superfamily;IPR025246:Transposase IS30-like HTH domain;IPR036397:Ribonuclease H superfamily;PTHR10948:TRANSPOSASE
IS_length_2670-IPR036397_1253_1745-PTHR35004_893_2006-IPR012337_1325_1745	1	41	2630	2670	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR35004:TRANSPOSASE RV3428C-RELATED
IS_length_2914-IPR013762_1860_2382	1	32	2883	2914	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2615-PTHR35004_118_1501-IPR017894_133_376-IPR012337_568_1024-IPR036397_571_1069	1	31	2588	2615	IPR012337:Ribonuclease H-like superfamily;IPR017894:HTH domain, IS21 transposase-type;IPR036397:Ribonuclease H superfamily;PTHR35004:TRANSPOSASE RV3428C-RELATED
IS_length_1687-PTHR10948_497_1364	1	29	1661	1687	PTHR10948:TRANSPOSASE
IS_length_2658-PTHR35004_230_1364-IPR036397_584_1100-IPR012337_659_977	1	34	2625	2658	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR35004:TRANSPOSASE RV3428C-RELATED
IS_length_2584-IPR012337_1303_1756-IPR036397_1297_1795-PTHR35004_868_2125	1	28	2547	2584	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR35004:TRANSPOSASE RV3428C-RELATED
IS_length_2274-IPR013762_1068_1476	1	43	2242	2274	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1448-IPR002560_90_885-PTHR33498_84_867	1	45	1404	1448	IPR002560:Transposase IS204/IS1001/IS1096/IS1165, DDE domain;PTHR33498:TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1557
IS_length_1871-IPR024445_116_479-IPR024445_122_470-IPR024445_1494_1857-IPR024445_1500_1848	1	28	1844	1871	IPR024445:ISXO2-like transposase domain
IS_length_1263-IPR002559_444_819-PTHR30007:SF2_153_918	1	45	1237	1263	IPR002559:Transposase, IS4-like;PTHR30007:SF2:TRANSPOSASE IS4 FAMILY PROTEIN
IS_length_1174-IPR036515_271_772-IPR036515_289_754-IPR002686_289_742-IPR002686_292_742-PTHR36966_259_748	1	33	1139	1174	IPR002686:Transposase IS200-like;IPR036515:Transposase IS200-like superfamily;PTHR36966:REP-ASSOCIATED TYROSINE TRANSPOSASE
IS_length_2484-IPR013762_831_1386	1	30	2455	2484	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2541-PTHR10948_25_337-PTHR33258_575_1085-IPR012337_575_1118-IPR002559_578_971-IPR002559_1323_1563	1	37	2516	2541	IPR002559:Transposase, IS4-like;IPR012337:Ribonuclease H-like superfamily;PTHR10948:TRANSPOSASE;PTHR33258:TRANSPOSASE INSL FOR INSERTION SEQUENCE ELEMENT IS186A-RELATED
IS_length_2713-IPR013762_1070_1571-IPR013762_2252_2708	1	35	2688	2713	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1441-IPR002560_619_1351-PTHR33498_475_1384	1	29	1413	1441	IPR002560:Transposase IS204/IS1001/IS1096/IS1165, DDE domain;PTHR33498:TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1557
IS_length_2865-IPR029261_202_334-PTHR33498_190_496-IPR032877_361_502-IPR008490_2145_2364-PTHR33803_2025_2691	1	38	2828	2865	IPR008490:Transposase InsH, N-terminal;IPR029261:Transposase IS204/IS1001/IS1096/IS1165, zinc-finger;IPR032877:Transposase IS204/IS1001/IS1096/IS1165, helix-turn-helix domain;PTHR33498:TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1557;PTHR33803:IS1478 TRANSPOSASE
IS_length_1513-IPR025246_56_152	1	33	1481	1513	IPR025246:Transposase IS30-like HTH domain
IS_length_2024-IPR013762_864_1410	1	35	1990	2024	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1031-IPR013762_398_962	1	34	1001	1031	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1040-IPR013762_453_1011	1	30	1009	1040	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_823-IPR036515_134_653-IPR036515_134_548-IPR002686_170_524-IPR002686_158_530-PTHR36966_140_593	1	26	798	823	IPR002686:Transposase IS200-like;IPR036515:Transposase IS200-like superfamily;PTHR36966:REP-ASSOCIATED TYROSINE TRANSPOSASE
IS_length_1425-IPR012337_200_695-PTHR35004_137_971-IPR036397_212_701	1	42	1394	1425	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR35004:TRANSPOSASE RV3428C-RELATED
IS_length_1527-IPR012337_309_1221-IPR038721_330_951	1	50	1497	1527	IPR012337:Ribonuclease H-like superfamily;IPR038721:Transposase IS701-like, DDE domain
IS_length_1350-IPR001207_465_537-IPR001207_372_648	1	44	1315	1350	IPR001207:Transposase, mutator type
IS_length_2679-IPR036397_1322_1844-IPR012337_1388_1802-PTHR35004_926_2054	1	36	2644	2679	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR35004:TRANSPOSASE RV3428C-RELATED
IS_length_2956-IPR024445_728_962	1	25	2932	2956	IPR024445:ISXO2-like transposase domain
IS_length_739-IPR012337_0_168-IPR012337_553_721	1	29	711	739	IPR012337:Ribonuclease H-like superfamily
IS_length_2798-PTHR30298_85_766-IPR002559_226_787	1	28	2763	2798	IPR002559:Transposase, IS4-like;PTHR30298:H REPEAT-ASSOCIATED PREDICTED TRANSPOSASE
IS_length_887-IPR002686_288_642-IPR002686_276_648-PTHR36966_258_711-IPR036515_252_771-IPR036515_252_666	1	26	860	887	IPR002686:Transposase IS200-like;IPR036515:Transposase IS200-like superfamily;PTHR36966:REP-ASSOCIATED TYROSINE TRANSPOSASE
IS_length_1088-PTHR36966_406_892-IPR036515_463_901-IPR036515_451_904-IPR002686_475_898	1	28	1060	1088	IPR002686:Transposase IS200-like;IPR036515:Transposase IS200-like superfamily;PTHR36966:REP-ASSOCIATED TYROSINE TRANSPOSASE
IS_length_1970-IPR013762_809_1355	1	34	1937	1970	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1903-IPR013762_812_1373	1	40	1864	1903	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1318-IPR002559_462_1104-PTHR33258_177_1212-IPR012337_291_1134	1	27	1292	1318	IPR002559:Transposase, IS4-like;IPR012337:Ribonuclease H-like superfamily;PTHR33258:TRANSPOSASE INSL FOR INSERTION SEQUENCE ELEMENT IS186A-RELATED
IS_length_1273-IPR025246_60_189-IPR036397_684_1140-PTHR10948_744_1122-IPR012337_696_1116	1	50	1239	1273	IPR012337:Ribonuclease H-like superfamily;IPR025246:Transposase IS30-like HTH domain;IPR036397:Ribonuclease H superfamily;PTHR10948:TRANSPOSASE
IS_length_2367-IPR036397_65_629-IPR012337_86_626	1	33	2331	2367	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily
IS_length_2999-IPR017856_164_401	1	38	2964	2999	IPR017856:Integrase-like, N-terminal
IS_length_1519-IPR012337_544_1033-IPR036397_544_1042-PTHR35004_517_1267	1	41	1483	1519	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR35004:TRANSPOSASE RV3428C-RELATED
IS_length_2485-IPR013762_1328_1853	1	39	2447	2485	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_835-IPR002559_12_168-PTHR30298_241_595-IPR002559_256_598	1	41	796	835	IPR002559:Transposase, IS4-like;PTHR30298:H REPEAT-ASSOCIATED PREDICTED TRANSPOSASE
IS_length_2683-IPR012337_621_1059-PTHR35004_102_1491-IPR036397_462_1122	1	27	2658	2683	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR35004:TRANSPOSASE RV3428C-RELATED
IS_length_1058-IPR002559_530_770-IPR012337_533_884	1	40	1028	1058	IPR002559:Transposase, IS4-like;IPR012337:Ribonuclease H-like superfamily
IS_length_1594-IPR036397_293_785-PTHR42648:SF3_119_800-PTHR42648_119_800-IPR012337_293_779	1	38	1567	1594	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR42648:SF3:TRANSPOSASE INSK FOR INSERTION SEQUENCE ELEMENT IS150-RELATED;PTHR42648:TRANSPOSASE, PUTATIVE-RELATED
IS_length_1631-IPR002560_692_887-IPR029261_380_515-PTHR33498_281_890-IPR002560_988_1453-PTHR33498_985_1489	1	36	1597	1631	IPR002560:Transposase IS204/IS1001/IS1096/IS1165, DDE domain;IPR029261:Transposase IS204/IS1001/IS1096/IS1165, zinc-finger;PTHR33498:TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1557
IS_length_1398-IPR002560_555_1350-PTHR33498_552_1341	1	43	1374	1398	IPR002560:Transposase IS204/IS1001/IS1096/IS1165, DDE domain;PTHR33498:TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1557
IS_length_925-IPR027806_16_175	1	32	884	925	IPR027806:Harbinger transposase-derived nuclease domain
IS_length_2345-IPR003346_1014_1269-PTHR33055:SF10_378_1386-PTHR33055_378_1386-IPR002525_387_852	1	31	2301	2345	IPR002525:Transposase, IS111A/IS1328/IS1533, N-terminal;IPR003346:Transposase, IS116/IS110/IS902;PTHR33055:SF10:PUTATIVE TRANSPOSASE FOR IS117-RELATED;PTHR33055:TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1111A
IS_length_2578-IPR025668_840_942-IPR025668_2004_2106	1	49	2536	2578	IPR025668:Transposase DDE domain
IS_length_1429-IPR002514_233_407-IPR036397_873_1188-IPR012337_885_1272-PTHR42648_645_1290	1	33	1383	1429	IPR002514:Transposase IS3/IS911family;IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR42648:TRANSPOSASE, PUTATIVE-RELATED
IS_length_1033-IPR013762_403_964	1	33	1003	1033	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2114-IPR025668_557_677	1	30	2082	2114	IPR025668:Transposase DDE domain
IS_length_1957-PTHR10642_618_1083-PTHR10642:SF23_618_1083-IPR002156_861_1137-IPR002156_840_1245-IPR012337_855_1233-IPR037056_624_774-IPR017290_618_1245-IPR036397_837_1245-IPR011320_633_759	1	29	1929	1957	IPR002156:Ribonuclease H domain;IPR011320:Ribonuclease H1, N-terminal;IPR012337:Ribonuclease H-like superfamily;IPR017290:Ribonuclease H, Bacteroides-type;IPR036397:Ribonuclease H superfamily;IPR037056:Ribonuclease H1, N-terminal domain superfamily;PTHR10642:RIBONUCLEASE H1;PTHR10642:SF23:RIBONUCLEASE H1
IS_length_2117-IPR012337_1519_1633-IPR012337_1745_2105-PTHR42648_1739_2096-IPR036397_1733_2111	1	29	2089	2117	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR42648:TRANSPOSASE, PUTATIVE-RELATED
IS_length_1929-IPR025668_524_764-PTHR30007:SF0_425_773	1	28	1886	1929	IPR025668:Transposase DDE domain;PTHR30007:SF0:TRANSPOSASE
IS_length_747-IPR036515_126_606-IPR036515_123_621-PTHR36966_75_600-IPR002686_156_585-IPR002686_141_594	1	37	714	747	IPR002686:Transposase IS200-like;IPR036515:Transposase IS200-like superfamily;PTHR36966:REP-ASSOCIATED TYROSINE TRANSPOSASE
IS_length_2925-IPR013762_2241_2766	1	27	2899	2925	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2057-PTHR10948_8_965-IPR001598_806_854-IPR036397_515_980-IPR012337_539_980-IPR025246_11_137	1	27	2031	2057	IPR001598:Transposase, IS30, conserved site;IPR012337:Ribonuclease H-like superfamily;IPR025246:Transposase IS30-like HTH domain;IPR036397:Ribonuclease H superfamily;PTHR10948:TRANSPOSASE
IS_length_647-IPR036515_32_515-IPR036515_32_407-PTHR36966_35_446-IPR002686_53_389-IPR002686_65_356	1	28	622	647	IPR002686:Transposase IS200-like;IPR036515:Transposase IS200-like superfamily;PTHR36966:REP-ASSOCIATED TYROSINE TRANSPOSASE
IS_length_2441-PTHR30007:SF0_0_402-IPR002559_0_372-PTHR30007:SF0_2039_2435-IPR002559_2045_2408	1	44	2398	2441	IPR002559:Transposase, IS4-like;PTHR30007:SF0:TRANSPOSASE
IS_length_1206-IPR027806_917_1160	1	28	1162	1206	IPR027806:Harbinger transposase-derived nuclease domain
IS_length_1911-IPR013762_772_1327	1	33	1879	1911	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_727-IPR036515_178_532-IPR036515_232_577-IPR002686_262_529-IPR002686_184_529-PTHR33360:SF2_181_538-PTHR33360_181_538	1	31	697	727	IPR002686:Transposase IS200-like;IPR036515:Transposase IS200-like superfamily;PTHR33360:SF2:TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS200;PTHR33360:TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS200
IS_length_639-IPR036515_67_385-IPR036515_55_409-IPR002686_79_382-PTHR36966_25_376	1	26	599	639	IPR002686:Transposase IS200-like;IPR036515:Transposase IS200-like superfamily;PTHR36966:REP-ASSOCIATED TYROSINE TRANSPOSASE
IS_length_758-IPR002686_222_564-IPR002686_246_564-IPR036515_213_567-IPR036515_228_603	1	43	727	758	IPR002686:Transposase IS200-like;IPR036515:Transposase IS200-like superfamily
IS_length_1021-IPR013762_378_936	1	26	981	1021	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1890-IPR013762_770_1295	1	27	1856	1890	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1746-IPR013762_580_1156	1	29	1718	1746	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2171-PTHR35004_863_1415-IPR036397_854_1199-IPR012337_869_1145-PTHR35004:SF6_1572_2043-PTHR35004_1572_2043	1	34	2138	2171	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR35004:SF6:TRANSPOSASE RV3428C-RELATED;PTHR35004:TRANSPOSASE RV3428C-RELATED
IS_length_1447-IPR013762_534_1086	1	26	1422	1447	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1619-IPR013762_396_957	1	36	1593	1619	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1027-IPR013762_395_956	1	29	994	1027	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1865-IPR008490_242_449-IPR025668_1238_1613-PTHR33408_89_1679	1	40	1828	1865	IPR008490:Transposase InsH, N-terminal;IPR025668:Transposase DDE domain;PTHR33408:TRANSPOSASE
IS_length_1069-IPR001207_349_847	1	37	1024	1069	IPR001207:Transposase, mutator type
IS_length_1181-IPR002686_193_511-IPR002686_175_511-IPR036515_154_517-IPR036515_175_559-PTHR33360_160_523	1	26	1137	1181	IPR002686:Transposase IS200-like;IPR036515:Transposase IS200-like superfamily;PTHR33360:TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS200
IS_length_1629-PTHR33055:SF10_373_1564-IPR003346_1189_1438-PTHR33055_373_1564-IPR002525_400_862	1	28	1601	1629	IPR002525:Transposase, IS111A/IS1328/IS1533, N-terminal;IPR003346:Transposase, IS116/IS110/IS902;PTHR33055:SF10:PUTATIVE TRANSPOSASE FOR IS117-RELATED;PTHR33055:TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1111A
IS_length_1948-IPR013762_821_1382	1	31	1919	1948	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2209-IPR013762_963_1488	1	27	2176	2209	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_871-IPR036515_135_516-IPR036515_117_474-IPR002686_129_471-IPR002686_126_471	1	26	840	871	IPR002686:Transposase IS200-like;IPR036515:Transposase IS200-like superfamily
IS_length_2330-IPR012337_1005_1446	1	29	2305	2330	IPR012337:Ribonuclease H-like superfamily
IS_length_1034-IPR013762_444_1005	1	27	1006	1034	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2993-IPR002560_3_369-IPR002560_2580_2940	1	47	2951	2993	IPR002560:Transposase IS204/IS1001/IS1096/IS1165, DDE domain
IS_length_2064-IPR013762_912_1437	1	31	2029	2064	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2483-IPR013762_550_1096-IPR013762_1936_2476	1	42	2442	2483	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1404-PTHR33498_751_1309-IPR002560_751_1273	1	30	1373	1404	IPR002560:Transposase IS204/IS1001/IS1096/IS1165, DDE domain;PTHR33498:TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1557
IS_length_2093-IPR013762_986_1544	1	35	2059	2093	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1417-IPR002559_380_1013-PTHR33258_110_1037-IPR012337_326_1028	1	31	1387	1417	IPR002559:Transposase, IS4-like;IPR012337:Ribonuclease H-like superfamily;PTHR33258:TRANSPOSASE INSL FOR INSERTION SEQUENCE ELEMENT IS186A-RELATED
IS_length_603-IPR002560_56_572-PTHR33498_131_545	1	28	576	603	IPR002560:Transposase IS204/IS1001/IS1096/IS1165, DDE domain;PTHR33498:TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1557
IS_length_827-IPR005063_383_749	1	28	802	827	IPR005063:Transposase, IS1
IS_length_1916-IPR036397_540_1023-IPR012337_540_1020-PTHR46889_216_1029-IPR002514_1292_1454	1	32	1874	1916	IPR002514:Transposase IS3/IS911family;IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR46889:TRANSPOSASE INSF FOR INSERTION SEQUENCE IS3B-RELATED
IS_length_1634-IPR002559_667_949-PTHR33408_637_946-IPR025668_1042_1414-PTHR33408_1018_1459	1	32	1603	1634	IPR002559:Transposase, IS4-like;IPR025668:Transposase DDE domain;PTHR33408:TRANSPOSASE
IS_length_1432-IPR012337_238_1015-IPR038721_262_763	1	40	1390	1432	IPR012337:Ribonuclease H-like superfamily;IPR038721:Transposase IS701-like, DDE domain
IS_length_1481-IPR013762_154_337	1	30	1451	1481	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1265-IPR002559_337_1045-PTHR30298_37_1108	1	27	1237	1265	IPR002559:Transposase, IS4-like;PTHR30298:H REPEAT-ASSOCIATED PREDICTED TRANSPOSASE
IS_length_1596-IPR001207_209_281-IPR001207_122_560-IPR001207_119_560	1	40	1557	1596	IPR001207:Transposase, mutator type
IS_length_1322-IPR036397_532_964-IPR012337_580_910	1	38	1292	1322	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily
IS_length_640-IPR002560_351_564	1	33	613	640	IPR002560:Transposase IS204/IS1001/IS1096/IS1165, DDE domain
IS_length_1047-IPR002559_359_857	1	29	1019	1047	IPR002559:Transposase, IS4-like
IS_length_1083-IPR001207_426_747	1	44	1053	1083	IPR001207:Transposase, mutator type
IS_length_1592-IPR013762_1000_1561	1	27	1566	1592	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1741-IPR002560_1251_1497	1	26	1695	1741	IPR002560:Transposase IS204/IS1001/IS1096/IS1165, DDE domain
IS_length_811-IPR021027_2_143	1	46	782	811	IPR021027:Transposase, putative, helix-turn-helix domain
IS_length_1438-IPR002560_182_980-PTHR33498_176_977	1	28	1405	1438	IPR002560:Transposase IS204/IS1001/IS1096/IS1165, DDE domain;PTHR33498:TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1557
IS_length_1948-IPR024445_486_951-IPR024445_489_942	1	30	1919	1948	IPR024445:ISXO2-like transposase domain
IS_length_785-IPR013762_85_637	1	31	755	785	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_818-IPR013762_122_698	1	26	793	818	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1167-IPR024445_128_587-IPR024445_125_593	1	28	1140	1167	IPR024445:ISXO2-like transposase domain
IS_length_2437-IPR025246_8_137-PTHR10948_11_746-IPR036397_482_743-IPR012337_539_740-PTHR10948_1907_2432-IPR036397_2162_2429-IPR012337_2225_2426	1	26	2412	2437	IPR012337:Ribonuclease H-like superfamily;IPR025246:Transposase IS30-like HTH domain;IPR036397:Ribonuclease H superfamily;PTHR10948:TRANSPOSASE
IS_length_1281-IPR001207_61_367-IPR001207_58_403-IPR001207_890_1196	1	28	1250	1281	IPR001207:Transposase, mutator type
IS_length_772-IPR001207_48_381-IPR001207_51_357-IPR001207_484_556-IPR001207_442_577	1	27	726	772	IPR001207:Transposase, mutator type
IS_length_2530-IPR013762_383_596-IPR013762_2309_2522	1	38	2493	2530	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2181-PTHR35004_900_1989-IPR036397_1230_1737-PTHR35004:SF6_900_1989-IPR012337_1212_1707	1	27	2141	2181	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR35004:SF6:TRANSPOSASE RV3428C-RELATED;PTHR35004:TRANSPOSASE RV3428C-RELATED
IS_length_708-IPR021027_91_226	1	43	673	708	IPR021027:Transposase, putative, helix-turn-helix domain
IS_length_1349-IPR001207_367_682	1	33	1325	1349	IPR001207:Transposase, mutator type
IS_length_769-IPR013762_73_685	1	26	744	769	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2844-IPR008201_2227_2509	1	29	2816	2844	IPR008201:Ribonuclease HepT-like
IS_length_1513-IPR002514_236_410-IPR036397_877_1219-PTHR42648_562_1219-IPR012337_889_1219	1	32	1473	1513	IPR002514:Transposase IS3/IS911family;IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR42648:TRANSPOSASE, PUTATIVE-RELATED
IS_length_909-IPR038717_148_538-PTHR46564_229_550-IPR012337_289_583-IPR036397_49_574	1	33	862	909	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;IPR038717:Tc1-like transposase, DDE domain;PTHR46564:TRANSPOSASE
IS_length_2832-IPR036397_4_415-IPR038717_4_373-PTHR46564_55_373	1	33	2807	2832	IPR036397:Ribonuclease H superfamily;IPR038717:Tc1-like transposase, DDE domain;PTHR46564:TRANSPOSASE
IS_length_1098-IPR006842_222_453	1	28	1072	1098	IPR006842:Transposase (putative), YhgA-like
IS_length_1517-IPR001207_321_1422-IPR001207_288_1347-IPR001207_912_984	1	28	1480	1517	IPR001207:Transposase, mutator type
IS_length_1658-IPR013762_912_1422	1	38	1621	1658	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1456-IPR002560_953_1109	1	50	1431	1456	IPR002560:Transposase IS204/IS1001/IS1096/IS1165, DDE domain
IS_length_2473-IPR013762_1039_1585	1	33	2441	2473	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_836-IPR002559_16_376-PTHR30007:SF0_4_445-IPR025161_519_723	1	30	807	836	IPR002559:Transposase, IS4-like;IPR025161:Putative transposase IS4/IS5 family;PTHR30007:SF0:TRANSPOSASE
IS_length_1093-IPR001207_149_395	1	28	1066	1093	IPR001207:Transposase, mutator type
IS_length_1033-IPR013762_402_963	1	35	1002	1033	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1031-IPR013762_401_962	1	34	1001	1031	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2644-IPR013762_1638_2163	1	30	2615	2644	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_2802-IPR013762_514_1099	1	26	2769	2802	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_1857-IPR027806_488_719-IPR027805_317_443	1	26	1832	1857	IPR027805:Transposase, Helix-turn-helix domain;IPR027806:Harbinger transposase-derived nuclease domain
IS_length_1182-IPR036397_615_1101-PTHR42648_414_1110-IPR012337_612_1095-PTHR42648:SF3_414_1110	1	48	1137	1182	IPR012337:Ribonuclease H-like superfamily;IPR036397:Ribonuclease H superfamily;PTHR42648:SF3:TRANSPOSASE INSK FOR INSERTION SEQUENCE ELEMENT IS150-RELATED;PTHR42648:TRANSPOSASE, PUTATIVE-RELATED
IS_length_2502-IPR013762_1019_1544	1	36	2467	2502	IPR013762:Integrase-like, catalytic domain superfamily
IS_length_652-PTHR36966_109_601-IPR002686_130_394-IPR002686_124_541-IPR036515_100_556-IPR036515_100_640	1	28	621	652	IPR002686:Transposase IS200-like;IPR036515:Transposase IS200-like superfamily;PTHR36966:REP-ASSOCIATED TYROSINE TRANSPOSASE
